"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2023","33.90","34.82","34.87","33.42","11.74M","-3.39%"
"06/22/2023","35.09","35.34","35.49","34.76","13.63M","-1.65%"
"06/21/2023","35.68","34.73","35.85","34.64","16.98M","3.99%"
"06/20/2023","34.31","34.08","34.40","33.46","20.06M","0.26%"
"06/19/2023","34.22","33.39","34.24","33.29","5.67M","2.49%"
"06/16/2023","33.39","33.12","33.67","32.84","20.47M","0.60%"
"06/15/2023","33.19","33.65","34.40","33.07","19.88M","-1.48%"
"06/14/2023","33.69","32.47","33.69","32.35","35.21M","4.30%"
"06/13/2023","32.30","32.78","32.78","31.99","24.87M","-5.50%"
"06/12/2023","34.18","33.75","34.41","33.57","23.81M","1.27%"
"06/09/2023","33.75","32.40","33.79","32.29","18.76M","4.81%"
"06/07/2023","32.20","31.85","32.25","31.63","20.67M","3.11%"
"06/06/2023","31.23","30.57","31.37","30.32","17.31M","2.03%"
"06/05/2023","30.61","30.64","30.96","30.39","8.04M","0.62%"
"06/02/2023","30.42","30.67","30.74","30.23","10.48M","1.20%"
"06/01/2023","30.06","29.31","30.15","29.25","13.27M","2.91%"
"05/31/2023","29.21","29.21","29.58","28.94","18.15M","-1.22%"
"05/30/2023","29.57","29.79","29.95","29.37","17.07M","-0.94%"
"05/29/2023","29.85","29.88","30.04","29.61","3.60M","-0.63%"
"05/26/2023","30.04","29.88","30.05","29.58","9.72M","1.66%"
"05/25/2023","29.55","29.99","29.99","29.34","10.55M","-0.74%"
"05/24/2023","29.77","29.30","29.94","29.21","7.14M","1.09%"
"05/23/2023","29.45","29.00","29.73","28.87","10.47M","2.08%"
"05/22/2023","28.85","29.28","29.58","28.75","10.45M","-1.50%"
"05/19/2023","29.29","29.50","29.57","29.17","13.20M","0.48%"
"05/18/2023","29.15","28.93","29.18","28.58","22.51M","0.45%"
"05/17/2023","29.02","29.53","29.64","28.81","24.72M","-0.62%"
"05/16/2023","29.20","28.62","29.99","28.62","31.50M","2.24%"
"05/15/2023","28.56","28.72","28.96","28.25","18.04M","-1.99%"
"05/12/2023","29.14","28.04","29.82","28.04","20.20M","3.52%"
"05/11/2023","28.15","27.17","28.45","26.83","20.24M","2.40%"
"05/10/2023","27.49","27.32","27.76","27.10","9.51M","0.18%"
"05/09/2023","27.44","27.16","27.61","27.00","8.07M","0.77%"
"05/08/2023","27.23","27.20","27.49","26.98","8.20M","1.72%"
"05/06/2023","26.77","26.77","26.77","26.77","","-0.07%"
"05/05/2023","26.79","25.98","26.85","25.89","10.83M","4.20%"
"05/04/2023","25.71","25.62","26.11","25.26","11.03M","1.46%"
"05/03/2023","25.34","25.32","25.75","25.21","13.17M","-0.55%"
"05/02/2023","25.48","26.50","26.61","25.33","21.98M","-4.46%"
"04/28/2023","26.67","26.62","27.10","25.87","34.07M","-7.72%"
"04/27/2023","28.90","29.82","30.10","28.74","29.48M","-2.66%"
"04/26/2023","29.69","30.05","30.23","29.67","20.25M","-1.43%"
"04/25/2023","30.12","30.30","30.56","29.78","15.56M","-0.53%"
"04/24/2023","30.28","29.75","30.38","29.63","13.86M","1.54%"
"04/20/2023","29.82","29.84","30.15","29.40","7.71M","0.30%"
"04/19/2023","29.73","30.51","30.56","29.65","18.32M","-3.19%"
"04/18/2023","30.71","30.04","30.94","29.82","15.97M","2.57%"
"04/17/2023","29.94","29.73","30.16","29.69","10.99M","0.40%"
"04/14/2023","29.82","29.31","29.83","29.23","8.64M","1.50%"
"04/13/2023","29.38","29.15","29.47","29.11","9.79M","1.17%"
"04/12/2023","29.04","29.25","29.40","28.64","16.56M","0.07%"
"04/11/2023","29.02","28.20","29.08","28.01","17.97M","4.39%"
"04/10/2023","27.80","27.20","27.82","27.17","8.26M","2.66%"
"04/06/2023","27.08","27.38","27.47","26.99","6.94M","-1.17%"
"04/05/2023","27.40","27.36","27.60","26.49","15.97M","0.15%"
"04/04/2023","27.36","27.96","27.99","27.24","6.94M","-1.41%"
"04/03/2023","27.75","27.24","27.77","26.92","12.19M","4.76%"
"03/31/2023","26.49","27.09","27.30","26.31","16.95M","-2.18%"
"03/30/2023","27.08","27.16","27.28","26.63","9.97M","1.12%"
"03/29/2023","26.78","26.57","26.86","26.31","10.89M","1.06%"
"03/28/2023","26.50","26.01","26.50","25.94","10.85M","1.73%"
"03/27/2023","26.05","26.00","26.17","25.61","10.06M","1.52%"
"03/24/2023","25.66","25.57","25.94","25.25","11.45M","0.35%"
"03/23/2023","25.57","26.18","26.55","25.43","16.17M","-1.96%"
"03/22/2023","26.08","26.32","26.45","25.95","7.28M","-0.87%"
"03/21/2023","26.31","25.94","26.55","25.93","7.59M","2.21%"
"03/20/2023","25.74","26.50","26.65","25.66","11.08M","-2.35%"
"03/17/2023","26.36","26.00","26.37","25.70","25.16M","0.42%"
"03/16/2023","26.25","26.37","26.53","25.97","9.91M","-0.38%"
"03/15/2023","26.35","26.56","26.69","25.70","19.44M","-2.44%"
"03/14/2023","27.01","27.63","28.07","26.86","9.45M","-1.78%"
"03/13/2023","27.50","27.94","28.09","27.36","10.18M","-3.17%"
"03/10/2023","28.40","28.29","28.93","28.23","13.39M","-0.70%"
"03/09/2023","28.60","28.83","29.74","28.55","14.77M","-1.24%"
"03/08/2023","28.96","28.59","29.38","28.50","16.67M","1.54%"
"03/07/2023","28.52","29.11","29.24","28.25","11.88M","-3.03%"
"03/06/2023","29.41","29.00","29.47","28.74","12.27M","1.48%"
"03/03/2023","28.98","27.95","29.03","27.77","14.01M","3.65%"
"03/02/2023","27.96","28.94","29.18","27.78","16.49M","-2.75%"
"03/01/2023","28.75","28.80","28.87","27.38","25.41M","0.00%"
"02/28/2023","28.75","30.04","30.72","28.75","28.69M","-4.39%"
"02/27/2023","30.07","29.44","30.42","29.36","16.60M","1.66%"
"02/24/2023","29.58","30.03","30.17","29.47","14.92M","-1.50%"
"02/23/2023","30.03","28.95","30.32","28.95","15.82M","3.73%"
"02/22/2023","28.95","29.09","29.43","28.95","9.62M","-2.49%"
"02/17/2023","29.69","30.12","30.13","29.69","9.96M","-1.53%"
"02/16/2023","30.15","30.00","30.48","30.00","10.01M","-0.10%"
"02/15/2023","30.18","29.83","30.40","29.71","13.37M","0.43%"
"02/14/2023","30.05","30.23","30.44","29.98","9.96M","-0.60%"
"02/13/2023","30.23","30.00","30.35","29.62","11.67M","0.50%"
"02/10/2023","30.08","29.27","30.25","29.27","22.16M","2.73%"
"02/09/2023","29.28","29.26","29.56","29.08","11.09M","0.00%"
"02/08/2023","29.28","28.91","29.35","28.73","7.47M","2.02%"
"02/07/2023","28.70","28.95","29.25","28.42","9.64M","-0.52%"
"02/06/2023","28.85","27.85","29.02","27.85","9.97M","3.63%"
"02/03/2023","27.84","27.50","28.43","27.39","13.87M","1.20%"
"02/02/2023","27.51","28.80","28.97","27.36","17.31M","-4.74%"
"02/01/2023","28.88","29.46","29.87","28.59","13.73M","-1.97%"
"01/31/2023","29.46","28.99","29.54","28.73","13.73M","1.62%"
"01/30/2023","28.99","29.24","29.32","28.66","8.89M","0.31%"
"01/27/2023","28.90","29.58","29.59","28.70","11.01M","-2.27%"
"01/26/2023","29.57","30.42","30.57","28.92","18.65M","-2.79%"
"01/25/2023","30.42","30.28","30.47","29.36","13.85M","0.43%"
"01/24/2023","30.29","30.78","31.49","30.01","13.96M","-0.75%"
"01/23/2023","30.52","29.88","31.22","29.65","12.31M","2.31%"
"01/20/2023","29.83","29.45","29.94","28.89","14.05M","1.12%"
"01/19/2023","29.50","28.35","29.54","28.31","13.18M","3.40%"
"01/18/2023","28.53","29.29","29.48","28.40","13.96M","-1.28%"
"01/17/2023","28.90","27.15","28.92","27.15","21.29M","7.04%"
"01/16/2023","27.00","27.47","27.64","26.75","8.50M","-2.49%"
"01/13/2023","27.69","27.55","27.86","27.35","7.76M","-0.22%"
"01/12/2023","27.75","27.69","27.83","27.21","13.09M","0.54%"
"01/11/2023","27.60","27.25","27.83","27.19","9.59M","1.28%"
"01/10/2023","27.25","27.07","27.29","26.47","8.95M","0.59%"
"01/09/2023","27.09","26.84","27.31","26.60","12.70M","0.67%"
"01/06/2023","26.91","27.15","27.73","26.82","14.11M","-0.63%"
"01/05/2023","27.08","26.57","27.34","26.45","20.37M","3.24%"
"01/04/2023","26.23","25.74","26.90","25.30","24.52M","1.67%"
"01/03/2023","25.80","26.36","26.55","25.48","28.66M","-1.41%"
"01/02/2023","26.17","26.85","27.30","25.96","14.37M","-6.67%"